															
Player	Team	G	IP	GS	QS	QS%	K/BB	K/9	BB/9	HR/9	BABIP	Str%	FB MPH	ERA	FIP
Chris Sale	BOS	32	214.1	32	23	71.9	7.2	12.9	1.8	1.0	.301	75.5	94.4	2.90	2.40
Jeff Samardzija	SF	32	207.2	32	20	62.5	6.4	8.9	1.4	1.3	.303	65.0	94.3	4.42	3.58
Carlos Martinez	STL	32	205.0	32	20	62.5	3.1	9.5	3.1	1.2	.285	74.9	95.7	3.64	3.87
Corey Kluber	CLE	29	203.2	29	22	75.9	7.4	11.7	1.6	0.9	.267	80.8	92.6	2.25	2.49
Rick Porcello	BOS	33	203.1	33	19	57.6	3.8	8.0	2.1	1.7	.324	72.8	91.1	4.65	4.58
Gerrit Cole	PIT	33	203.0	33	20	60.6	3.6	8.7	2.4	1.4	.298	70.9	96.0	4.26	4.09
Zack Greinke	ARI	32	202.1	32	19	59.4	4.8	9.6	2.0	1.1	.285	75.5	91.0	3.20	3.37
Jacob deGrom	NYM	31	201.1	31	21	67.7	4.1	10.7	2.6	1.3	.305	75.8	95.2	3.53	3.54
Marcus Stroman	TOR	33	201.0	33	20	60.6	2.6	7.3	2.8	0.9	.310	80.2	93.4	3.09	3.88
Chris Archer	TB	34	201.0	34	20	58.8	4.2	11.1	2.7	1.2	.325	71.7	95.5	4.07	3.39
Max Scherzer	WAS	31	200.2	31	22	71.0	4.9	12.0	2.5	1.0	.245	78.6	94.1	2.51	2.80
Carlos Carrasco	CLE	32	200.0	32	19	59.4	4.9	10.2	2.1	0.9	.307	73.7	94.3	3.29	3.02
Clayton Richard	SD	32	197.1	32	14	43.8	2.6	6.9	2.7	1.1	.351	70.5	90.7	4.79	4.18
Luis Severino	NYY	31	193.1	31	21	67.7	4.5	10.7	2.4	1.0	.272	76.1	97.6	2.98	3.05
Zach Davies	MIL	33	191.1	33	15	45.5	2.3	5.8	2.6	0.9	.302	73.6	89.7	3.90	4.15
Patrick Corbin	ARI	33	189.2	32	19	59.4	2.9	8.4	2.9	1.2	.326	75.7	92.4	4.03	4.10
Julio Teheran	ATL	32	188.1	32	20	62.5	2.1	7.2	3.4	1.5	.281	72.2	91.4	4.49	4.92
Ivan Nova	PIT	31	187.0	31	17	54.8	3.6	6.3	1.7	1.4	.299	72.9	92.8	4.14	4.41
Kevin Gausman	BAL	34	186.2	34	15	44.1	2.5	8.6	3.4	1.4	.336	72.8	95.0	4.68	4.48
Lance Lynn	STL	33	186.1	33	18	54.5	2.0	7.4	3.8	1.3	.244	78.2	91.8	3.43	4.74
Marco Estrada	TOR	33	186.0	33	17	51.5	2.5	8.5	3.4	1.5	.295	68.1	89.9	4.98	4.66
Martin Perez	TEX	32	185.0	32	16	50.0	1.8	5.6	3.1	1.1	.328	70.9	93.1	4.82	4.63
Dan Straily	MIA	33	181.2	33	12	36.4	2.8	8.4	3.0	1.5	.288	73.2	90.3	4.26	4.57
Tanner Roark	WAS	32	181.1	30	17	56.7	2.6	8.2	3.2	1.1	.300	67.6	92.2	4.67	4.11
Ricky Nolasco	LAA	33	181.0	33	12	36.4	2.5	7.1	2.9	1.7	.311	71.9	90.9	4.92	5.13
