Player,Team,G,GS,QS,IP,K,HLD,SV,ERA,WHIP
Victor Alcantara,DET,55,0,0,62,50,10,0,2.76,1.08
Sandy Alcantara,MIA,27,27,15,155,145,0,0,3.95,1.35
Scott Alexander,LAD,59,0,0,59,50,22,2,3.2,1.31
Kolby Allard,ATL,9,9,4,48,34,0,0,4.13,1.44
Cody Allen,LAA,68,0,0,66,85,2,30,3.82,1.26
Jose Alvarado,TB,62,0,0,58,71,12,20,2.79,1.21
Jose Alvarez,PHI,70,0,0,57,53,12,0,3.32,1.26
Brett Anderson,OAK,18,18,6,89,56,0,0,4.55,1.38
Justin Anderson,LAA,53,0,0,56,63,15,1,4.34,1.48
Tyler Anderson,COL,29,29,15,163,151,0,0,4.47,1.28
Chase Anderson,MIL,28,28,11,152,128,0,0,3.61,1.18
Matt Andriese,ARI,31,11,6,89,83,1,0,4.85,1.35
Victor Arano,PHI,62,0,0,61,67,17,1,2.36,1.16
Chris Archer,PIT,30,30,13,175,203,0,0,4.17,1.3
Jake Arrieta,PHI,30,30,15,174,155,0,0,3.98,1.24
Pedro Baez,LAD,62,0,0,62,68,20,0,2.9,1.21
Homer Bailey,KC,17,17,6,87,64,0,0,6.31,1.68
Matt Barnes,BOS,65,0,0,65,89,15,15,3.74,1.26
Jacob Barnes,MIL,64,0,0,63,65,7,1,3.57,1.37
Kyle Barraclough,WAS,65,0,0,62,74,20,2,3.48,1.32
Jaime Barria,LAA,27,27,6,137,97,0,0,4.07,1.34
Chris Bassitt,OAK,15,15,4,71,58,0,0,3.8,1.35
Trevor Bauer,CLE,31,31,19,194,222,0,0,3.25,1.22
Cam Bedrosian,LAA,59,0,0,54,54,10,2,4.33,1.35
Jose Berrios,MIN,32,32,18,185,187,0,0,3.75,1.17
Dellin Betances,NYY,67,0,0,65,112,22,8,2.91,1.12
Chad Bettis,COL,33,18,7,128,88,0,0,4.92,1.39
Joe Biagini,TOR,50,8,0,88,69,10,0,5.11,1.48
Jesse Biddle,ATL,64,0,0,65,70,15,1,2.77,1.23
Shane Bieber,CLE,32,32,13,183,175,0,0,4.33,1.27
Ty Blach,SF,52,14,4,114,62,2,0,4.5,1.41
Ray Black,SF,50,0,0,45,72,8,0,5,1.2
Richard Bleier,BAL,46,0,0,49,23,18,0,2.57,1.2
Ryan Borucki,TOR,29,29,15,162,125,0,0,4.06,1.27
Brad Boxberger,KC,59,0,0,54,70,8,15,4.17,1.41
Matt Boyd,DET,32,32,15,176,156,0,0,4.19,1.27
Brad Brach,CHC,69,0,0,67,69,13,6,3.22,1.34
Chasen Bradford,SEA,57,0,0,65,50,10,5,4.02,1.37
Archie Bradley,ARI,71,0,0,72,77,3,26,2.88,1.1
Ryan Brasier,BOS,52,0,0,57,56,12,15,2.21,0.93
John Brebbia,STL,59,0,0,64,71,15,1,2.95,1.08
Zach Britton,NYY,45,0,0,44,39,22,5,2.45,1.23
Clay Buchholz,FA,18,18,8,115,90,0,0,3.37,1.18
Ryan Buchter,OAK,62,0,0,52,55,18,1,2.94,1.1
Walker Buehler,LAD,31,31,19,171,188,0,0,2.89,1.03
Madison Bumgarner,SF,33,33,19,199,171,0,0,3.3,1.21
Aaron Bummer,CWS,63,0,0,52,49,5,0,4.33,1.33
Dylan Bundy,BAL,31,31,16,193,192,0,0,4.85,1.33
Corbin Burnes,MIL,24,24,10,135,133,0,0,3.87,1.3
Ty Buttrey,LAA,54,0,0,59,62,20,5,3.97,1.39
Trevor Cahill,LAA,31,18,7,113,108,0,0,3.98,1.33
Carlos Carrasco,CLE,32,32,19,200,231,0,0,3.33,1.12
Andrew Cashner,BAL,28,28,13,153,97,0,0,4.65,1.49
Jose Castillo,SD,61,0,0,63,75,19,0,3.86,1.13
Luis Castillo,CIN,32,32,13,187,195,0,0,3.71,1.17
Miguel Castro,BAL,57,0,0,81,52,4,0,3.89,1.38
Dylan Cease,CWS,9,9,3,43,48,0,0,3.77,1.35
Jhoulys Chacin,MIL,33,33,12,181,149,0,0,3.78,1.23
Andrew Chafin,ARI,74,0,0,50,56,15,0,3.6,1.34
Aroldis Chapman,NYY,55,0,0,52,85,0,36,2.6,1.06
Tyler Chatwood,CHC,33,19,5,109,87,0,0,4.71,1.58
Jesse Chavez,TEX,64,0,0,90,82,10,2,3.9,1.23
Wei-Yin Chen,MIA,28,28,0,147,121,0,0,4.71,1.29
Yonny Chirinos,TB,26,16,1,133,110,0,0,3.18,1.17
Adam Cimber,CLE,62,0,0,67,53,14,0,3.36,1.15
Steve Cishek,CHC,67,0,0,61,65,23,2,2.21,1
Alex Claudio,MIL,67,0,0,71,46,16,1,3.68,1.35
Mike Clevinger,CLE,30,30,20,185,185,0,0,2.97,1.14
Tyler Clippard,FA,70,0,0,65,79,20,2,4.02,1.26
Alex Cobb,BAL,28,28,15,164,119,0,0,4.12,1.29
Gerrit Cole,HOU,31,31,19,194,231,0,0,3.15,1.09
Alex Colome,CWS,66,0,0,65,67,2,28,3.05,1.18
Adam Conley,MIA,58,0,0,56,60,22,5,3.38,1.14
Patrick Corbin,WAS,32,32,18,190,206,0,0,3.55,1.23
Dylan Covey,CWS,26,26,7,119,86,0,0,5.07,1.46
Kyle Crick,PIT,55,0,0,55,58,23,2,2.62,1.16
Yu Darvish,CHC,26,26,14,148,174,0,0,4.01,1.28
Zach Davies,MIL,22,22,10,124,88,0,0,4.14,1.32
Wade Davis,COL,62,0,0,59,73,0,33,4.12,1.1
Jorge De La Rosa,FA,60,0,0,53,42,10,0,3.74,1.4
Enyel De Los Santos,PHI,15,13,5,76,59,0,0,4.14,1.36
Jacob deGrom,NYM,33,33,24,219,260,0,0,2.47,1.04
Anthony DeSclafani,CIN,24,24,11,141,125,0,0,4.21,1.28
Chris Devenski,HOU,54,0,0,69,76,20,1,3,1.01
Edwin Diaz,NYM,67,0,0,67,106,0,41,2.55,0.97
Jake Diekman,FA,60,0,0,47,57,19,1,4.21,1.4
Seranthony Dominguez,PHI,65,0,0,71,80,19,10,3.04,1.06
Sean Doolittle,WAS,56,0,0,55,70,1,30,2.29,0.76
Danny Duffy,KC,27,27,11,156,145,0,0,4.27,1.35
Sam Dyson,SF,68,0,0,65,49,16,2,3.6,1.31
Carl Edwards Jr.,CHC,71,0,0,65,88,24,0,3.32,1.12
Zach Eflin,PHI,26,26,11,144,129,0,0,4.13,1.19
Roenis Elias,SEA,24,13,3,91,73,0,0,3.66,1.29
Nathan Eovaldi,BOS,26,26,10,147,124,0,0,4.1,1.21
Robbie Erlin,SD,26,6,1,84,66,0,0,4.39,1.23
Marco Estrada,OAK,30,30,10,163,137,0,0,4.8,1.36
Jeurys Familia,NYM,57,0,0,57,64,19,3,3.16,1.25
Jake Faria,TB,21,21,4,112,112,0,0,4.34,1.34
Buck Farmer,DET,47,5,1,67,59,5,0,4.97,1.55
Mike Fiers,OAK,30,30,12,157,141,0,0,4.47,1.36
Jack Flaherty,STL,30,30,9,162,180,0,0,3.28,1.14
Dylan Floro,LAD,59,0,0,66,59,11,0,3.41,1.44
Brian Flynn,KC,43,0,0,68,46,8,0,3.57,1.43
Mike Foltynewicz,ATL,31,31,14,183,192,0,0,3.44,1.23
Kyle Freeland,COL,30,30,20,180,140,0,0,3.45,1.32
Sam Freeman,ATL,60,0,0,52,55,10,0,3.46,1.37
Max Fried,ATL,19,12,3,68,74,0,0,4.24,1.43
Jace Fry,CWS,58,0,0,53,67,15,8,4.42,1.25
Michael Fulmer,DET,25,25,12,148,115,0,0,4.07,1.22
John Gant,STL,28,17,3,106,92,0,0,3.65,1.34
Amir Garrett,CIN,67,0,0,66,73,23,1,3.68,1.23
Kevin Gausman,ATL,32,32,16,184,163,0,0,3.67,1.21
Sam Gaviglio,TOR,24,24,4,131,104,0,0,4.6,1.33
Kyle Gibson,MIN,30,30,15,176,147,0,0,4.24,1.4
Ken Giles,TOR,60,0,0,56,85,1,35,3.7,1.27
Lucas Giolito,CWS,32,32,15,174,140,0,0,5.07,1.4
Mychal Givens,BAL,68,0,0,77,85,2,20,3.39,1.14
Tyler Glasnow,TB,30,30,11,155,181,0,0,4.01,1.15
Koda Glover,WAS,32,0,0,27,19,10,1,4.33,1.3
Zack Godley,ARI,32,32,14,185,189,0,0,4.33,1.34
Marco Gonzales,SEA,31,31,14,175,155,0,0,3.91,1.18
Gio Gonzalez,FA,32,32,14,182,155,0,0,4.1,1.33
Jon Gray,COL,31,31,13,173,182,0,0,4.63,1.31
Sonny Gray,CIN,29,29,12,167,154,0,0,4.1,1.22
Chad Green,NYY,67,0,0,73,98,15,0,2.22,0.93
Shane Greene,DET,65,0,0,64,67,1,30,4.36,1.33
Zack Greinke,ARI,32,32,20,198,194,0,0,3.32,1.11
Robert Gsellman,NYM,70,0,0,81,68,15,1,4.44,1.33
Junior Guerra,MIL,39,6,1,86,90,2,0,3.77,1.35
Tayron Guerrero,MIA,65,0,0,64,71,16,0,4.36,1.39
Josh Hader,MIL,59,0,0,85,141,22,8,2.22,0.81
Cole Hamels,CHC,29,29,16,178,163,0,0,3.79,1.25
Jason Hammel,TEX,35,25,12,152,118,0,0,5.33,1.46
Brad Hand,CLE,72,0,0,78,106,3,31,2.54,1.05
J.A. Happ,NYY,29,29,15,170,171,0,0,3.55,1.19
Blaine Hardy,DET,36,8,3,88,61,2,0,3.58,1.16
Will Harris,HOU,57,0,0,53,60,18,0,3.4,1.17
Matt Harvey,LAA,28,28,8,141,115,0,0,4.53,1.32
Andrew Heaney,LAA,29,29,15,172,176,0,0,3.82,1.2
Jeremy Hellickson,WAS,25,25,11,132,90,0,0,4.36,1.17
